Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA
27/10/13,Sunderland,Newcastle,2,1,2.9,3.3,2.63,2.65,3.3,2.6,2.75,3.3,2.4,2.7,3.3,2.6,2.91,3.42,2.61,2.9,3,2.62,2.75,3.3,2.6,2.9,3.4,2.6
27/10/13,Swansea,West Ham,0,0,1.75,3.8,5.25,1.65,3.8,5,1.75,3.5,4.5,1.75,3.6,4.6,1.71,3.98,5.36,1.75,3.4,5,1.67,3.8,5,1.75,3.75,5.2
27/10/13,Tottenham,Hull,1,0,1.44,4.75,8,1.4,4.2,8.75,1.4,4.4,7.3,1.4,4.5,7.5,1.43,4.77,9.15,1.44,4,8,1.44,4.33,7.5,1.44,4.75,8.5
02/11/13,Arsenal,Liverpool,2,0,2.3,3.5,3.3,2.15,3.4,3.25,2.2,3.3,3.1,2.2,3.4,3.2,2.34,3.4,3.34,2.3,3,3.4,2.25,3.4,3.2,2.25,3.5,3.4
02/11/13,Fulham,Man United,1,3,6.5,4.2,1.57,5.75,4.1,1.55,5.6,3.9,1.55,5.5,3.8,1.61,6.79,4.28,1.56,6.5,3.4,1.62,5.5,4.2,1.57,6,4.2,1.62
02/11/13,Hull,Sunderland,1,0,2.15,3.4,3.8,2.05,3.3,3.6,2,3.3,3.6,2.1,3.3,3.5,2.17,3.33,3.86,2.2,3.3,3.3,2.1,3.25,3.75,2.2,3.3,3.75
02/11/13,Man City,Norwich,7,0,1.2,7.5,18,1.17,7.5,13,1.17,6.5,14,1.2,6.5,13,1.18,7.9,21.16,1.2,6,15,1.18,6.5,19,1.2,7.5,17
02/11/13,Newcastle,Chelsea,2,0,6,4.2,1.62,5.5,4,1.57,5.1,3.6,1.65,5.5,4,1.6,5.93,4.17,1.64,6,3.4,1.67,5.5,4,1.62,5.5,4.1,1.65
02/11/13,Stoke,Southampton,1,1,3.3,3.3,2.4,3.2,3.1,2.35,2.85,3.3,2.35,2.87,3.3,2.4,3.36,3.25,2.41,3.1,3.1,2.4,3.3,3.13,2.3,3.3,3.2,2.45
02/11/13,West Brom,Crystal Palace,2,0,1.55,4.2,7,1.5,4.2,6.25,1.57,3.75,5.6,1.6,3.6,6,1.53,4.34,7.35,1.57,3.75,6,1.53,4,6.25,1.57,4.33,6.5
02/11/13,West Ham,Aston Villa,0,0,2.25,3.5,3.4,2.15,3.4,3.3,2.1,3.3,3.3,2.2,3.4,3.2,2.18,3.45,3.68,2.25,3.2,3.3,2.1,3.4,3.5,2.25,3.5,3.4
03/11/13,Cardiff,Swansea,1,0,3.4,3.4,2.3,3.1,3.3,2.3,2.9,3.3,2.3,3,3.4,2.3,3.55,3.39,2.25,3.4,3,2.3,3.13,3.3,2.3,3.4,3.4,2.3
